candidate_id,segment,n_rows,brier,bss_proxy,auc,prediction_mean,target_mean,invalid_nan_inf,range_error
V13_baseline,all,746504,0.24664052736945616,1334.4878847175835,0.5590646176813294,0.504160366800554,0.5048546290441847,0,0
V13_baseline,R,660360,0.24838773902849925,644.3005233083943,0.5458292811829674,0.4974400911150059,0.4987673390271973,0,0
V13_baseline,F,86144,0.23324680649318252,5700.13561893774,0.6310126507453272,0.5556764474528167,0.5515183878157504,0,0
B_mh_profile,all,746504,0.24759789490167863,951.5047681279087,0.557734024359415,0.5134389931056887,0.5048546290441847,0,0
B_mh_profile,R,660360,0.24806040168503932,775.236256495182,0.5499288150570317,0.5017359505857067,0.4987673390271973,0,0
B_mh_profile,F,86144,0.24405242476493022,1331.5084428605517,0.5963247057613154,0.6031518130176416,0.5515183878157504,0,0
C_tabm_direction,all,746504,0.24782864404887928,859.1964073668579,0.5529373550496591,0.4980815219166038,0.5048546290441847,0,0
C_tabm_direction,R,660360,0.24803460046364875,785.5568077777764,0.5498452754505939,0.4992423596797395,0.4987673390271973,0,0
C_tabm_direction,F,86144,0.24624982976051168,443.11474440423825,0.5915989748065235,0.4891828078417492,0.5515183878157504,0,0
D_v14_uncalibrated,all,746504,0.24627898724813171,1479.1175674431001,0.5633471163639712,0.5060637773849694,0.5048546290441847,0,0
D_v14_uncalibrated,R,660360,0.2479790359775435,807.7827373049073,0.5508182359184747,0.4995918017196889,0.4987673390271973,0,0
D_v14_uncalibrated,F,86144,0.23324680649318252,5700.13561893774,0.6310126507453272,0.5556764474528167,0.5515183878157504,0,0
E_v14_month_calibrated,all,746504,0.24618918068108162,1515.0435809973883,0.5638903421170155,0.5048546290413501,0.5048546290441847,0,0
E_v14_month_calibrated,R,660360,0.2479207343375484,831.1035350423767,0.5512474062813978,0.49876733902403814,0.4987673390271973,0,0
E_v14_month_calibrated,F,86144,0.23291549043469875,5834.0841168915695,0.6332476011703702,0.5515183878154044,0.5515183878157504,0,0
