candidate_id,feature_family,profile_enabled,season_to_date_enabled,year_weighting,model_family,seed_count,hccn_enabled,calibration,split,column,status,notes,n_rows,brier,bss_proxy,auc,prediction_mean,target_mean,delta_brier_vs_baseline,ci_low,ci_high,runtime_seconds,invalid_nan_inf,range_error
A_v5_hccn,existing_v5_hccn,True,True,unknown_in_current_oof,v5_router_hccn,,True,v5_recency_slope,blocked_no_comparable_oof,,BLOCKED,"v5/HCCN inference artifact exists, but matched 2022-2024 OOF predictions are absent.",0,,,,,,,,,4.5409997255774215e-06,,
V13_baseline,existing_v13,unknown_in_stored_artifact,unknown_in_stored_artifact,unknown_in_stored_artifact,v13_centered_expert,,False,stored_v13_policy,outer_temporal_oof_2022_2024,p_v13_centered_expert_best,MEASURED,Stored V13 prediction used as the paired comparison anchor.,746504,0.24664052736945616,1334.4878847175835,0.5590646176813294,0.504160366800554,0.5048546290441847,0.0,0.0,0.0,0.14060179199987033,0.0,0.0
B_mh_profile,strict_past_profile,True,True,4_year_1_0_75_0_5_0_25,3_catboost_plus_lightgbm_logit_ensemble,3.0,False,none,outer_temporal_oof_2022_2024,p_mh_raw_blend,MEASURED,Existing final OOF column; profile and season-to-date are composite in this artifact.,746504,0.24759789490167863,951.5047681279087,0.557734024359415,0.5134389931056887,0.5048546290441847,0.0009573675322224722,0.000628860553115435,0.0013217931830625607,0.37048849999973754,0.0,0.0
C_tabm_direction,mh_profile_features,True,True,4_year_feature_cache,tabm_mini,2.0,False,none,outer_temporal_oof_2022_2024,p_tabm_mean,MEASURED,"Mean of the two stored TabM seed predictions; used as a candidate, not as final blend alone.",746504,0.24782864404887928,859.1964073668579,0.5529373550496591,0.4980815219166038,0.5048546290441847,0.0011881166794231622,0.0008581537708059438,0.0015445834931731236,0.39505141700010427,0.0,0.0
D_v14_uncalibrated,v13_plus_mh_tabm_direction,True,True,4_year_1_0_75_0_5_0_25,v13_direction_blend,5.0,False,none,outer_temporal_oof_2022_2024,p_v14_uncalibrated,MEASURED,R-only direction blend before month calibration.,746504,0.24627898724813171,1479.1175674431001,0.5633471163639712,0.5060637773849694,0.5048546290441847,-0.00036154012132439653,-0.00045809026837487335,-0.0002768843658559223,0.3108342089999496,0.0,0.0
E_v14_month_calibrated,v13_plus_mh_tabm_direction,True,True,4_year_1_0_75_0_5_0_25,v13_direction_blend,5.0,False,game_type_month_affine_from_pooled_oof,outer_temporal_oof_2022_2024,p_v14_month_calibrated,MEASURED,Candidate with the stored local calibration policy; nested result is reported separately.,746504,0.24618918068108162,1515.0435809973883,0.5638903421170155,0.5048546290413501,0.5048546290441847,-0.000451346688374514,-0.0005572612654898136,-0.0003496823491439797,0.30421429200032435,0.0,0.0
F_hccn_residual_incremental,residual_hccn,unknown,unknown,unknown,residual_hccn,,True,unknown,blocked_no_raw_oof,,BLOCKED,"HCCN source/checkpoints are preserved, but the comparable raw OOF table is not.",0,,,,,,,,,1.7089996617869474e-06,,
G_trackman_student,trackman,False,False,not_applicable,student_or_final_trackman,,False,not_run,blocked_not_in_current_final_path,,BLOCKED,Current final source and feature schema do not use Trackman directly.,0,,,,,,,,,1.041999894368928e-06,,
