candidate_id,season,n_rows,brier,bss_proxy,auc,prediction_mean,target_mean,invalid_nan_inf,range_error
V13_baseline,2022,247472,0.24344371152592326,2295.638784308607,0.577075266442922,0.5320920252485721,0.5289204435249241,0,0
V13_baseline,2023,245525,0.24872845292193485,508.61810339158933,0.5445400873272084,0.4923750466027603,0.49995723449750534,0,0
V13_baseline,2024,253507,0.24773905517799172,827.787926317003,0.5514110794991257,0.4883078947272596,0.4861049201797189,0,0
B_mh_profile,2022,247472,0.24323740469527189,2378.4385287623945,0.5810003607744736,0.526410725582739,0.5289204435249241,0,0
B_mh_profile,2023,245525,0.25182609682236506,-730.4394658448788,0.5336180418755565,0.5166497211761696,0.49995723449750534,0,0
B_mh_profile,2024,253507,0.24775950762157722,819.6006258882171,0.5526446706284498,0.4976664322333442,0.4861049201797189,0,0
C_tabm_direction,2022,247472,0.24747038114787365,679.5642479269337,0.5537652521465023,0.5041527765084511,0.5289204435249241,0,0
C_tabm_direction,2023,245525,0.24823592104361916,705.6308561591229,0.5473307240413561,0.497150588704884,0.49995723449750534,0,0
C_tabm_direction,2024,253507,0.24778392478078876,809.826213493603,0.5514070386786902,0.4930564214675191,0.4861049201797189,0,0
D_v14_uncalibrated,2022,247472,0.24306772372826035,2446.5387495009263,0.5813280608267102,0.5282620209655013,0.5289204435249241,0,0
D_v14_uncalibrated,2023,245525,0.2481804648370496,727.8133389492125,0.5483498909361149,0.49919051590877156,0.49995723449750534,0,0
D_v14_uncalibrated,2024,253507,0.24757219619609194,894.5831045236719,0.5532966627970941,0.4910508341075928,0.4861049201797189,0,0
E_v14_month_calibrated,2022,247472,0.2429333270420623,2500.477881024099,0.5819458871446925,0.5278952699690516,0.5289204435249241,0,0
E_v14_month_calibrated,2023,245525,0.24807905707914052,768.3764424096017,0.5494598634164608,0.4981750494601612,0.49995723449750534,0,0
E_v14_month_calibrated,2024,253507,0.2475371541458064,908.6107580961622,0.5534760796719084,0.48883175900230297,0.4861049201797189,0,0
